회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업레버리지,재무레버리지,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사극동기계,17527,2018,-0.5,-1.56,-0.31,-0.3,133.4,87.78,167.51,130.05,20.01,16.24,8.01,64.85,37.38,6.37,2.62,2.21,0.49,0.44,0.4,0.7,0.1257548371051629,9.6046450786173,9.6,17.03,-1.88,-10.77,-0.92,2858.27,9.73,37.19,9.3,23.73,46.48,1.0461890983401647,4.29,2.43,3.98,1.19,1.09,2.95,1.74,33.0,0.1494191646302883,38.00763653939101,0.1829926236902775,-4.45827089634997,10.193140613782386,0,0,1,0,1.0
유모멘트주식회사,97120,2021,-0.63,-0.8,-1.16,-2.57,12.93,12.36,0.0,0.0,118.82640000000012,-38.96,6.19,5.79,0.0,0.0,-37.45,-86.19,-17.93,-17.94,-41.84,39.4,-6.514067492318888,-9.175680350926555,-9.18,-17.4,-8.62,8.37,-7.94,17508.9,19.58,62.98,43.48,-198.23,18.53,0.4503444451342168,20.22,7.34,1.39,0.43,0.43,0.46,7.04,11.0,1.418405456742965,-2.3900260489728287,0.485413578449297,-2.1297633149867026,8.69281,0,0,1,0,1.0
미광운수(주),57584,2014,-0.22,-0.33,-0.26,-0.28,23.5,23.5,0.0,0.0,78.75,-16.22,1.0,4.98,0.0,0.0,13.218000000000028,13.69,0.87,0.86,0.89,3.57,-0.7656825498692343,8.560502594484094,8.56,-37.02,12.84,0.82,5.71,3860.15,28.33,33.48,30.45,44.94,81.56,0.9304625404937727,256.99,14.43,1.13,1.04,0.97,1.04,14.43,55.0,0.0833319987961554,10.353602167676124,0.0642206060730133,-0.2286965484528638,0.2985098984805228,0,0,1,0,1.0
성우건설주식회사,15508,2018,4.99,8.35,3.37,2.18,149.54,149.54,207.59,186.36,40.33,30.01,0.21,90.6,32.51,-47.6,-21.76,-13.12,-12.72,-16.13,-10.59,0.32,-0.5479611034890972,-3.1209612641989284,-3.12,-3.46,0.23,-8.73,-59.31,-5166.890399999999,-15.4556,-258.49159999999995,-10.06,0.0,0.0,1.5474961920608066,6.83,1.68,1617.5576000000126,1.66,1.52,16.4436,1.68,39.0,0.0497075960225126,0.5307970485276376,0.8073660184110226,-0.0614455933948093,0.0668747907994293,0,0,1,0,1.0
(주)성훈,43422,2022,-2.64,-2.73,-1.08,-11.65,141.72,129.41,68.86,58.99,39.45,14.57,1.57,49.51,59.22,-3.15,-2.13,-20.53,0.91,0.05,0.55,2.08,-0.10931412558997,0.756136540865257,0.76,11.07,-7.65,-55.4,-5.37,634.53,2.59,6.31,27.98,-73.39,34.87,0.0924362031266411,0.75,0.22,0.22,0.1,0.09,0.18,0.2,28.0,0.2779727186625301,51.409483447944986,-0.0268570814989799,-0.2956828096830574,0.7021307189542484,0,0,1,0,1.0
주식회사송현,88368,2019,-13.62,-16.34,-10.3648,-79.9148,13.93,13.93,579.22,452.83,71.1,-57.38,0.05,9.28,14.72,-5.03,-0.77,-9.61,1.98,1.79,22.22,29.48,0.0037787857750379,0.0,3.56,117.21,-1.71,21.32,-1.71,519.43,4.68,5.16,59.26,-16.22,83.11,0.0,0.0,1.17,0.09,0.08,0.08,0.09,1.17,9.0,0.7778359642757721,4.501178585184234,-2.4839273413781666,-0.0485857490813352,0.0584651562306755,0,0,1,0,1.0
(주)해맑음푸드,96978,2021,4.25,6.39,3.97,2.15,36.92,19.6,1410.51,1337.7,62.13,-55.86,0.04,32.7,6.62,-83.98,-4.2,-2.05,-1.56,-1.6,-0.82,1.23,1.2470041034321482,12.546594148757372,12.55,0.88,19.24,38.22,19.26,974.84,7.73,12.38,4.18,-49.02,37.21,1.8499058763104592,16.6,11.22,3.22,2.05,1.96,2.99,5.68,10.0,0.1808024195884903,-21.091828398462457,0.3996015577751689,-0.615523847292153,5.861908330761657,0,0,1,0,1.0
(주)삼보유통,85981,2019,0.01,0.01,0.01,0.01,19.81,12.06,1083.94,1049.14,74.17,-71.06,9.28,17.56,8.45,10.85,0.42,0.28,0.84,0.84,0.56,1.59,-4.526175735040115,13.887677475281423,13.89,131.49,2.77,39.79,2.46,5033.99,21.14,26.31,14.98,1.85,42.53,1.4114258863671747,76.22,20.43,1.78,1.51,1.5,1.74,11.23,10.0,0.1874756192324508,34.489648099140176,2.0189039567419105,-11.5697494146681,3.580760220031482,0,0,1,0,1.0
삼신정공(주),69574,2015,0.77,0.89,0.63,23.89,21.26,21.26,457.47,457.37,71.07,-64.6,1.5,17.44,17.94,-8.1,-19.9,-84.54,-3.77,-4.01,-127.39,123.69,-2.038943233339644,47.607263483303,47.61,297.59,30.3,-67.18,704.15,1096.34,2.3,738.42,87.08,-97.08,52.07,0.026392065036072,2.56,0.24,15.08,0.24,0.03,0.04,0.24,38.0,1.4251181483864306,-0.1187235281610797,1.5068223007449428,-0.0564910874691271,0.0587654380678386,0,0,1,0,1.0
(주)하나티이씨,66376,2015,4.61,5.91,3.9,10.24,48.46,47.23,546.27,430.78,66.05,-34.35,1.81,32.3,15.47,-4.23,-0.67,-1.76,2.42,1.7,4.44,5.39,0.7339665644750067,0.5959492993828255,0.6,8.59,-2.82,-29.39,-1.74,1234.43,9.65,14.8,25.34,-6.96,46.2,0.380758146627654,5.38,1.25,0.58,0.38,0.38,0.55,1.23,17.0,0.2085631662555055,5.694323567726379,-2.5207447861476298,-1.0089419264126107,14.50903077500469,0,0,1,0,1.0
(주)비엠,63984,2019,-1.22,-1.42,-1.32,-1.19,5.56,4.59,0.0,0.0,92.91,-52.01,0.23,3.06,0.0,0.0,-12.51,-12.09,-9.26,-9.26,-8.99,2.26,-7.074012279319304,-12.803396885239898,-12.8,-75.82,-4.98,9.19,-4.45,394.06,1.57,1.71,1.42,-851.51,-23.91,1.1049416832767125,48.72,26.667600000000004,1.17,1.04,1.03,1.11,14.06,23.0,0.0562782334578944,0.3743080121411004,0.7441457862028455,-0.2421159886179325,0.3181186951143618,0,0,1,0,1.0
(주)서주산업개발,58873,2018,1.4,1.66,1.31,28.95,15.72,15.72,1522.24,957.59,78.85,-49.75,1.2,9.28,6.16,-0.9,-0.07,-1.23,2.03,1.54,28.48,31.78,-0.0371588343251045,47.95836034043086,47.96,682.9348000000003,35.98,19.42,35.96,906.84,3.71,4.12,82.07,-1.49,81.13,0.0452350402980146,0.0,0.89,0.06,0.05,0.05,0.06,0.89,22.0,0.715204422209512,3.5112904763417965,-23.222640395542765,-0.0279291646165617,0.0285496128097581,0,0,1,0,1.0
(주)익스톨,61727,2016,-9.62,-10.72,-6.84,-13.53,59.66,54.68,245.15,194.89,63.78,-22.78,33.7,33.69,28.97,-24.85,-9.31,-16.28,-6.62,-6.7,-13.55,3.12,-0.0975536479473707,-4.092918681655299,-4.09,1.73,-6.8,-3.67,-2.96,887.92,7.65,14.55,15.14,-107.5,-23.42,0.5051723753286436,4.02,1.66,0.77,0.57,0.49,0.74,1.51,28.0,0.4685640382077418,-2.459167591872289,0.8322696224280266,-1.1392901361947998,0.1327163461538461,0,0,1,0,1.0
다이토키스코(주),47451,2021,-1.78,-2.48,-1.09,-1.9,61.92,36.28,156.33,133.76,43.85,-19.87,4.55,32.31,39.01,-2.51,-1.37,-1.74,-16.22,-16.24,-25.36,0.03,0.2577759324419645,27.77912376908923,27.78,13.55,35.91,45.83,36.36,2754.98,6.04,15.48,10.58,-16.42,71.36,0.5708002040574452,5.07,3.43,0.98,0.79,0.64,0.97,1.88,19.0,0.0607897851319522,0.7602685893258119,17.260033051281784,-0.269505454390662,0.3409809159463971,0,0,1,0,1.0
(주)성호컴퍼니,80513,2018,-0.12,-0.14,-0.1,-2.45,0.95,0.95,599.68,546.16,77.12,-77.32,0.44,0.74,14.29,-5.29,-0.93,-18.2,1.28,1.28,28.74,47.03,-0.3202461160449363,9.743166378879842,9.74,-73.92,12.43,1.05,-1.4,537.36,3.78,4.71,88.55,-20.55,74.6,0.0427020887061007,0.0,2.39,0.05,0.05,0.04,0.05,2.39,15.0,0.7125793003443901,3.4792404802036394,-1.5796022603781787,-0.0371964985075109,0.0386498538011695,0,0,1,0,1.0
천일여객(주),19113,2014,13.21,26.13,8.7,7.4,32.16,29.36,192.93,108.49,33.31,-25.13,3.6,11.91,34.14,4.41,2.63,1.25,-5.93,-7.28,-6.02,-0.28,-0.0737595512749844,5.877431408778742,5.88,0.83,6.6,-1.03,5.09,5530.73,25.8,59.58,21.93,5.71,45.63,1.1762548085862436,22.42,10.9,2.78,2.1,1.21,1.38,9.92,48.0,0.1666782666382556,-1.7687289400092887,-4.235555580357766,-0.5543942474314018,1.2027187659976064,0,0,1,0,1.0
대은산업(주),58851,2020,-1.29,-1.42,-0.78,-1.51,65.99,49.11,152.0,83.22,54.9,-11.23,0.96,21.79,39.68,-1.55,-0.69,-1.21,1.26,1.23,2.4,3.19,-0.0255883453304614,-0.820764938670312,-0.82,-16.93,4.84,-12.47,5.19,1736.11,5.97,9.15,11.6,-10.41,56.36,0.5143227582898913,4.69,3.05,0.76,0.57,0.51,0.67,2.14,45.0,0.1644611989891392,7.843737309115185,-1.9899261063293945,-0.4038917275280541,0.8449644395899968,0,0,1,0,1.0
주식회사에이치엔,29908,2014,11.66,15.17,9.61,14.89,52.5,52.5,467.69,226.21,63.33,-18.93,12.23,20.92,17.62,-10.06,-2.15,-2.89,-0.16,-0.26,-0.4,3.54,-0.0265223241265217,0.0,1.07,-9.64,4.34,-2.53,3.1,2945.61,22.46,37.95,34.81,-8.31,53.55,0.0,5.33,3.03,0.92,0.74,0.65,0.83,2.93,30.0,0.32326024902684,-60.074397204641386,0.1388513168379543,-0.7850172165240659,2.287313786699332,0,0,1,0,1.0
