,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
21318,주식회사에스씨피,67692,2021,0.0,-659258.0,5.36
21319,(주)신우엔지니어링,67699,2016,0.0,335321.0,-1.78
21320,코러스에쿼티(주),67701,2016,0.0,-227481.0,1.18
21321,주식회사광진피엠,67703,2022,0.0,1196319.0,0.0
21322,주식회사케이티엠,67705,2017,0.0,-36343.0,-6.59
21323,주식회사씨엠에이글로벌,67712,2022,0.0,2542000.0,14.85
21324,엘컴화인(주),67713,2022,0.0,3723418.0,2.28
21325,(주)태성정밀,67715,2022,0.0,2440821.0,2.23
21326,금강물류주식회사,67716,2022,0.0,1179931.0,1.14
21327,주식회사황조,67719,2022,0.0,8985213.0,19.51
21328,주식회사피앤제이,67720,2022,0.0,753847.0,1.89
21329,(주)원일상공,67723,2014,0.0,372150.0,1.29
21330,주식회사두레,67725,2022,0.0,,41.74
21331,주식회사두레,67725,2022,0.0,6072584.0,41.74
21332,(주)제이테크놀로지,67727,2018,0.0,9623682.0,42.69
21333,(주)래치원,67728,2017,0.0,770261.0,2.2
21334,삼포식품주식회사,67729,2020,0.0,539515.0,-0.66
21335,(주)씨앤엠무역,67730,2016,0.0,2033801.0,30.66
21336,(주)해천,67731,2020,0.0,1053330.0,-20.86
21337,(주)장안신기테크,67733,2015,0.0,-102292.0,-4.04
21338,주식회사조이스포츠,67734,2022,0.0,578732.0,1.46
21339,주식회사성광기업,67735,2022,0.0,-142205.0,-51.14
21340,두루포징(주),67738,2022,0.0,809721.0,4.0
21341,석천솔라파워주식회사,67739,2019,0.0,1826371.0,999999999.0
21342,(주)케이아이,67740,2018,0.0,-141119.0,-6.73
21343,(주)세종화건설,67741,2022,0.0,-4760357.0,-7.73
21344,모빌텍(주),67742,2015,0.0,581454.0,9.81
21345,주식회사미래로지텍,67747,2015,0.0,-2632808.0,-12.42
21346,(주)이래,67748,2019,0.0,319088.0,2.69
21347,주식회사빅스코,67749,2016,0.0,613884.0,-2.87
21348,대명토공(주),67750,2014,0.0,1478586.0,3.26
21349,(주)케이디스틸,67751,2015,0.0,-339240.0,-1.95
21350,주식회사네스랩,67754,2022,0.0,508918.0,467.3
21351,상원로지스틱(주),67758,2018,0.0,1224517.0,19.8
21352,(주)동서금속,67761,2021,0.0,146502.0,24.87
21353,항주건설주식회사,67763,2014,0.0,1615318.0,-0.37
21354,티튜브(주),67764,2022,0.0,235443.0,2.76
21355,신성산업(주),67768,2016,0.0,-116461.0,-15.55
21356,(주)대양이엔아이,67769,2022,0.0,1968295.0,3.53
21357,(주)화영테크윈,67773,2022,0.0,3420364.0,23.84
21358,(주)경일하이텍,67775,2019,0.0,2819386.0,27.45
21359,주식회사동산빌딩,67776,2022,0.0,1399028.0,48.33
21360,주식회사지앤피,67782,2014,0.0,11983280.0,144.72
21361,주식회사케이쓰리엠,67785,2014,0.0,1569024.0,6.81
21362,주식회사루첸리인터내셔널,67793,2014,0.0,313485.0,1.02
21363,(주)제이투산업,67794,2015,0.0,-2336505.0,1.27
21364,(주)대영마이더스,67798,2014,0.0,2544277.0,36.49
21365,(주)엔피알티,67800,2022,0.0,2818837.0,250.08
21366,이오에스아이(주),67802,2022,0.0,2052332.0,0.9
21367,주식회사엔캣,67805,2022,0.0,6010058.0,19.35
21368,초양기전(주),67811,2016,0.0,2104606.0,20.18
21369,(주)신우금속,67812,2022,0.0,3002090.0,4609913.14
21370,지엔비오토모빌(주),67814,2022,0.0,-466766.0,0.29
21371,티씨씨주식회사,67818,2017,0.0,601002.0,-6.49
21372,(주)케이에스펄,67819,2022,0.0,3022479.0,99.03
21373,(주)마스타코리아,67824,2014,0.0,2167935.0,999999999.0
21374,삼한개발(주),67826,2022,0.0,1249727.0,0.4
21375,주식회사신한디앤씨,67829,2014,0.0,13711946.0,2.28
21376,일화종합건설(주),67832,2022,0.0,719273.0,2.11
21377,(주)고려소재연구소,67833,2015,0.0,-689225.0,-0.73
21378,헬스탑주식회사,67834,2022,0.0,733849.0,3.67
21379,(주)동양엘앤피,67835,2022,0.0,3401303.0,1.71
21380,(주)에프앤디파트너,67836,2016,0.0,-1137293.0,0.0
21381,신대양주식회사,67839,2017,0.0,510692.0,1.16
