회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)엑스페릭스,317770,2022,105,703,5,16,1846,1558,5,4,1,75,542,79,95,6.74,6.93,20.54,6.69,5.76,18.69,-2.97,-0.6699999999999999,5.415304411807935,5.42,-6.1,97.06,3.85,16.86,6257,12,480,42,49,49,0.3001060583638469,8.34,0,12,0,0,2,0,7.0,5.0,15.22633744855967,943.0025385410686,15638.151286961544,2997.7732663292586,0,1,0,0,0.0
(주)더블유에스아이,299170,2022,27,59,9,19,235,211,51,46,16,41,77,72,66,12.31,8.78,15.9,7.76,6.71,13.58,-1.54,-12.4,9.692031254008608,9.69,-13.73,244.02,-2.33,350.62,9661,17,283,36,45,59,0.4720962036941873,2.95,1,3,1,0,3,1,6.0,6.0,12.72108843537415,1474.4197767318008,12241.919858047486,2069.837134975706,0,1,0,0,0.0
(주)이엠넷,123570,2022,22,1000,6,17,334,334,37,29,1,50,32,72,73,7.54,6.97,16.59,7.78,7.09,21.1,-1.96,-26.54,-5.001595354760801,-5.0,-1.59,-12.65,25.46,-1.99,33399,26,313,76,22,34,0.344802006172015,5.76,0,4,0,0,1,0,24.0,13.0,11.86046511627907,968.5971352687088,15558.359639854809,2055.7274224956204,0,1,0,0,0.0
(주)에스제이엠홀딩스,25530,2022,8,17,2,3,453,305,25,17,9,49,106,63,80,1.15,1.39,2.08,3.07,2.5,4.47,-0.5,-0.98,-0.3041896377575225,-0.3,9.35,-13.54,23.09,-6.1,70813,22,145,38,5,27,0.5613733640535113,4.11,1,4,1,1,1,1,49.0,27.0,26.96850393700788,194.37392188719352,4708.722403711376,277.64603823561475,0,1,0,0,0.0
(주)디앤씨미디어,263720,2022,53,459,10,15,353,347,23,21,2,43,66,59,81,8.63,7.04,10.03,7.43,6.44,9.57,-1.41,-13.409999999999998,6.545004904777836,6.55,-11.74,52.76,-9.21,19.64,19218,20,498,31,32,44,0.6515813613505973,9.32,1,17,1,1,2,1,12.0,7.0,579.4871794871794,3630.5920738498007,50955.85022203152,4531.900978168856,0,1,0,0,0.0
(주)파버나인,177830,2022,5,7,2,3,103,64,85,84,33,2,17,47,54,9.83,5.5,6.18,8.23,7.98,9.45,1.84,-0.75,4.208128903029332,4.21,12.29,-2.06,-6.52,2.96,40949,29,60,35,18,46,0.8275254611016454,6.84,3,2,1,1,2,2,27.0,10.0,65.43859649122807,692.3640987439144,20211.6725611162,451.52473512371927,0,1,0,0,0.0
대정화금(주),120240,2022,41,118,6,12,321,269,19,16,5,29,123,43,84,9.76,9.07,14.22,7.58,6.88,12.0,-1.01,3.34,6.644525519510464,6.64,4.29,8.48,8.64,3.36,28378,16,37,29,48,65,0.5558585082456031,6.27,2,1,1,1,1,1,38.0,14.0,8.376826722338205,787.0323711900828,9032.35350377121,1194.5792824173573,0,1,0,0,0.0
한창산업(주),79170,2022,13,38,2,2,796,445,21,10,6,56,114,64,82,10.36,10.03,6.16,10.01,9.98,7.16,0.13,3.079999999999999,11.339563928546646,11.34,16.89,2.77,34.66,9.86,15486,21,85,16,40,62,1.3229438906251396,6.09,4,5,2,1,4,2,39.0,19.0,7.41554054054054,738.7030499815389,6893.416421930957,459.7783982118592,0,1,0,0,0.0
바디텍메드(주),206640,2022,175,410,19,31,728,536,12,9,5,52,163,60,89,15.35,14.19,21.41,12.89,12.72,20.89,-0.11,-17.4,1.7758091392863589,1.78,-10.51,28.11,-25.13,28.22,65132,33,115,55,39,53,0.6034923463696277,5.05,1,2,1,1,2,1,10.0,10.0,9.651600753295668,1376.97310900384,10435.797736887607,2038.818398964139,0,1,0,0,0.0
(주)메디아나,41920,2022,82,1973,11,16,655,486,15,13,1,62,205,73,87,12.56,12.62,15.51,11.28,10.96,15.52,-0.43,0.6300000000000008,14.722134209778318,14.72,8.26,37.41,20.32,-4.24,24999,24,188,37,42,61,0.6607039098054183,5.7,1,5,1,1,3,1,29.0,10.0,8.033033033033034,950.46352862694,8825.28361275769,1252.4373513571943,0,1,0,0,0.0
(주)우리로,46970,2022,-2,-4,-1,0,218,137,62,56,17,41,24,75,62,-8.84,-6.09,-3.5,2.71,2.19,1.36,0.19,-53.48,-1.695470537474401,-1.7,1.08,-9.32,-7.8,22.56,9068,15,96,9,-38,6,1.6237235697346344,15.04,3,10,2,2,6,2,26.0,12.0,-21.38888888888889,982.9700039199488,28722.7889886474,373.8874897172254,0,1,0,0,0.0
(주)신진에스엠,138070,2022,18,22,6,9,289,172,44,26,25,34,40,52,69,5.84,4.28,6.71,6.29,6.07,10.13,0.89,-0.7199999999999998,0.5059642445546073,0.51,-0.33,1.43,8.58,-15.05,22029,20,54,33,20,42,0.5976426469666086,5.1,2,1,1,1,1,1,23.0,13.0,10.411764705882351,604.1925035493102,5614.193831551738,700.654334251527,0,1,0,0,0.0
(주)핌스,347770,2022,14,29,6,6,119,104,66,49,20,6,21,35,60,3.24,1.59,1.42,1.28,1.22,1.33,0.37,-10.76,5.859531110263242,5.86,10.22,3.64,24.87,1.55,22082,23,50,26,5,29,0.8911857975599419,4.8,3,2,1,1,1,3,8.0,4.0,20.22058823529412,1138.129278688016,12677.577404131614,769.6593429631723,0,1,0,0,0.0
삼아제약(주),9300,2022,72,920,8,20,542,485,13,12,1,47,43,58,89,6.76,8.31,14.58,10.73,9.3,22.34,-3.34,4.76,7.414630499632527,7.41,41.89,-19.17,49.45,-4.38,41177,20,116,50,29,48,0.4020687335300991,4.14,1,2,1,0,1,1,51.0,24.0,8.529713114754099,587.2091273770791,5410.0079063480325,1298.177443838729,0,1,0,0,0.0
(주)인포바인,115310,2022,82,1098,6,32,999,998,8,8,1,63,284,70,93,6.08,6.93,28.75,7.98,6.56,32.81,-7.0,0.1100000000000003,11.235516585448138,11.24,0.26,49.8,7.29,666.12,13425,12,105,64,45,54,0.1897001717379396,6.72,0,3,0,0,1,0,24.0,14.0,7.607142857142857,666.6106642442154,9439.77528061815,3253.102198064653,0,1,0,0,0.0
(주)보락,2760,2022,15,58,3,4,268,123,26,20,5,27,32,43,79,6.54,5.63,6.34,5.66,5.6,6.78,0.07,2.75,8.157756896382397,8.16,26.92,-2.74,21.81,-4.09,15487,25,53,32,20,35,0.7951555624638538,6.95,5,2,1,1,1,2,65.0,35.0,31.5686274509804,1993.2106539826275,37842.158422321925,1991.1131511538129,0,1,0,0,0.0
(주)세화피앤씨,252500,2022,117,0,10,11,858,703,10,9,0,65,59,73,91,3.6,3.27,3.48,2.31,2.02,2.18,-0.31,-11.09,-0.9110248883367916,-0.91,-0.5,-2.01,-4.39,-7.1,11175,27,117,29,12,22,0.9312839657019706,7.35,2,4,1,1,3,1,8.0,8.0,40.0,1429.6604654005318,26718.06375395217,1400.4310058825797,0,1,0,0,0.0
(주)파인텍,131760,2017,-6,-9,-4,-5,77,70,263,242,44,-15,9,52,28,-50.43,-13.0,-18.22,4.33,4.29,6.5,3.27,-33.82,-31.521255079412235,-31.52,-40.34,-18.66,-20.47,-33.45,22951,15,65,19,-97,47,0.8129248536385982,2.07,1,3,1,1,2,1,16.0,9.0,-2.391595887349128,1321.4684724549013,8695.585081163887,447.94672622736897,0,1,0,0,1.0
