회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사디엔씨민은,82427,2019,-38.69,-45.77,-9.39,-45.4,308.79,197.83,32.03,26.3,20.51,41.59,20.6,61.51,75.74,41.03,55.29,128.45,4.08,2.86,11.54,-1.83,15.900000000000002,50.08101560527509,50.08,87.93,13.55,-40.93,-28.06,12897.45,33.29,36278.64,161.01,79.78,83.93,0.2067444375182346,5.42,0.57,188.55,0.43,0.25,0.57,0.44,20.0,0,0,0,1,1.0
(주)수정유통,67449,2014,-7.61,-8.93,-7.8,-3.11,31.42,16.42,0.0,0.0,87.36,-36.93,0.61,16.92,0.0,0.0,-6.49,-2.77,-3.07,-3.08,-1.32,1.51,82.06,-12.225578298575014,-12.23,-29.49,-7.62,-1.95,-3.84,5166.28,28.24,34.26,11.26,-24.56,16.41,2.508194014808951,70.58,25.61,2.98,2.35,2.34,2.9,12.26,21.0,0,0,0,1,1.0
(주)세광산업조명,62479,2022,0.24,0.31,0.14,0.19,94.95,69.2,146.8,112.25,46.35,-2.3,16.71,43.18,40.52,0.44,0.2,0.23,1.42,1.24,1.59,2.13,5.1000000000000005,7.795644149274889,7.8,37.64,-7.46,16.39,-4.04,2873.36,14.28,28.68,18.93,1.23,48.92,0.7540868883009874,4.28,2.83,1.48,0.85,0.78,1.28,2.02,24.0,0,0,0,1,1.0
(주)이노테라피,73085,2017,-134.75,-298.45,-35.5,-829.59,629.75,518.61,35.76,4.37,11.89,17.06,238.68,20.29,73.66,-65.46,-54.25,-1674.44,-42.46,-42.65,-1336.05,-3.95,-65.46,-40.482817896903846,-40.5,-71.43,-17.88,78.91,-7.57,-1649.46,-39.24,-53.38,-916.99,0.0,0.0,0.0482209805759723,8.62,0.1,0.06,0.03,0.03,0.05,0.09,14.0,0,0,0,1,1.0
주식회사서강플레이스,87229,2022,-1.82,-1.98,-1.51,-44.22,3.36,3.36,481.98,446.08,76.23,-74.08,0.89,2.57,17.18,-9.14,-1.73,-48.16,0.97,0.73,21.3,68.55,-1.0099999999999998,0.0175302943093914,0.02,18.79,-0.4,11.85,-0.15,670.45,2.91,3.15,85.11,-56.58,51.67,0.0341685835935922,0.0,1.44,0.04,0.04,0.03,0.04,1.44,7.0,0,0,0,1,1.0
주식회사다림양행,29928,2014,-10.52,-16.14,-4.09,-3.11,193.29,125.4,63.45,57.1,25.31,32.59,7.88,67.52,61.18,-2.13,-1.43,-1.0,1.59,1.58,1.21,0.75,-5.24,-1.5252068836568458,-1.53,1.87,-7.9,-2.56,-2.16,3618.45,19.64,85.75,14.97,-6.71,14.5,1.3116958671464811,3.53,3.02,5.67,1.42,1.3,3.87,1.96,30.0,0,0,0,1,1.0
충주메가폴리스(주),68767,2015,-24.26,-27.66,-22.57,-55.09,107.4,33.18,1332.42,1332.34,81.61,6.88,3.7,99.89,6.98,122.03,4.92,12.91,8.03,7.94,20.84,6.48,108.65,-13.114566383895449,-13.11,-13.11,-19.14,77.93,-45.1,14799.81,9.44,97124.35,23.03,56.07,92.25,0.4097422730361145,3.22,1.06,2989.46,0.38,0.38,338.32,0.38,12.0,0,0,0,1,1.0
씨씨케이주식회사,64393,2014,5.31,0.0,4.01,6.31,151.34,89.01,310.78,77.92,0.0,9.74,8.88,28.71,24.34,-8.21,-0.98,-1.63,-5.94,-5.94,-9.87,2.89,192.44,-10.426845814997954,-10.43,-12.17,-9.71,-13.63,-7.75,1011.51,12.19,17.75,19.16,-8.52,65.6,0.6364688589100893,5.5,3.13,0.89,0.6,0.6,0.85,2.07,16.0,0,0,0,1,1.0
(주)훼밀리씨앤디,87866,2019,-2.67,-900.41,-2.56,-9.26,1529.02,1529.02,2365.92,154.76,0.28,89.68,20.91,95.96,4.06,0.0,-57.81,-190.04,2.49,2.49,8.49,-0.01,0.0,12.986599241796627,12.99,13.96,-6.15,-80.67,-22.3,-5320.87,-51.24,-360971.79,-185.4,0.0,0.0,0.276380627162534,0.51,0.31,1702.74,0.3,0.29,6.62,0.31,27.0,0,0,0,1,1.0
(주)케이엠정밀,74136,2018,1.65,6.04,1.58,0.93,51.32,3.27,2244.14,2128.11,26.19,-44.19,0.05,46.59,4.27,-66.03,-4.15,-2.47,-2.12,-2.19,-1.31,1.1,-25.46,-3.5034887382043864,-3.5,15.94,-15.82,-0.26,-15.56,737.58,7.55,15.54,4.43,-55.72,83.14,1.7030809943277798,179.38,47.44,3.21,1.68,1.67,2.91,3.93,18.0,0,0,0,1,1.0
(주)씨에스이,39019,2020,-3.15,-6.01,-2.33,-1.55,112.79,53.17,285.7,259.52,38.76,8.61,4.93,75.89,25.93,15.4,4.48,3.08,1.89,1.88,1.39,1.36,12.66,-18.04241297353562,-18.04,11.22,-55.17,-4.42,-81.09,4848.15,23.27,321.12,15.53,19.84,46.88,1.4985538055413754,6.12,4.87,6.58,1.45,1.35,3.85,2.08,23.0,0,0,0,1,1.0
(주)유진기연사,73314,2021,-15.84,-36.9,-5.08,-21.62,166.88,136.36,47.19,44.81,13.76,20.36,10.03,50.81,67.94,75.84,57.72,232.77,-2.91,-3.03,-13.91,1.42,80.84,-13.412857045638738,-13.41,306.82,-52.24,-8.95,-52.61,22933.1,65.54,136.91,279.04,83.42,93.14,0.2348891592164631,3.18,0.9,0.32,0.25,0.22,0.31,0.74,49.0,0,0,0,1,1.0
원일기업주식회사,67040,2014,4.22,4.42,2.71,35.74,8.82,8.82,180.44,175.05,61.41,-56.91,0.11,5.51,35.66,1.15,1.86,5.39,2.47,-2.7,-35.81,-27.81,-0.3400000000000001,-1.549734942994071,-1.55,1.2,-1.71,-50.79,19.55,430.26,4.13,23.02,54.43,9.9,7.47,0.075915953579425,0.0,1.39,0.46,0.35,0.08,0.08,1.39,36.0,0,0,0,1,1.0
주식회사데일리인텔리전스,87832,2019,-26.75,-29.71,-14.57,-91.79,3.95,3.95,119.59,119.59,49.03,-52.31,1.54,2.15,45.54,-87.0,-560.46,-441.91,-7.25,-7.29,-62.07,14.37,-65.76,-41.30337662331216,-41.3,-82.32,-38.15,-62.98,-85.95,-5620.14,-59.41,-7809.68,-374.4,0.0,0.0,0.1586841289337486,18.98,2.22,5.14,1.27,0.12,0.12,2.22,9.0,0,0,0,1,1.0
농업회사법인(주)청미원식품,46996,2014,-7.09,-9.55,-5.65,-11.8,34.72,31.0,392.44,201.96,59.19,-26.77,0.0,14.24,20.31,23.98,3.46,5.87,-9.09,-9.17,-16.8,3.72,104.04,32.452656093497886,32.45,-6.29,42.22,-39.65,43.46,3944.91,13.2,18.42,27.57,21.28,55.35,0.4789809393441888,11.69,3.85,0.67,0.59,0.55,0.66,3.25,21.0,0,0,0,1,1.0
(주)한스홀딩스,81442,2018,-2.32,-2.39,-3.43,-76.13,13.88,13.88,0.0,0.0,143.48,-127.02,0.77,20.46,0.0,0.0,-20.2,-494.54,-19.68,-19.86,-490.92,6.19,0.0,-18.73710328983289,-18.74,-21.13,-18.1,59.56,-24.62,204.45,2.3,96.97,51.0,-969.64,-234.82,0.0451155321325379,6.55,0.19,1.63,0.04,0.04,0.05,0.19,9.0,0,0,0,1,1.0
(주)진양,44207,2020,-11.87,-13.8,-8.2,-20.39,87.3,82.95,223.65,189.51,59.42,-7.44,0.47,51.12,30.9,-31.28,-10.49,-28.47,3.02,1.44,3.91,1.78,-18.04,-15.886915646107516,-15.89,-24.01,-5.3,-40.61,-3.92,-944.77,-3.88,-7.98,-9.64,0.0,0.0,0.4023058081497648,3.07,0.7,0.81,0.37,0.37,0.8,0.68,28.0,0,0,0,1,1.0
고려농상(주),13000,2018,-7.17,-174.05,-3.27,-58.18,15.91,15.91,83.99,47.4,1.88,-21.67,1.31,4.1,54.35,2.31,1.85,31.98,2.19,1.79,35.71,-7.96,-9.65,-19.66864303556413,-19.67,-52.65,-17.2,-12.62,3.12,2022.07,3.85,4.25,68.43,46.73,79.42,0.0562550234634531,101.51,0.88,0.06,0.06,0.05,0.05,0.88,66.0,0,0,0,1,1.0
주식회사대흥정밀,64215,2015,-2.91,-5.32,-1.47,-1.57,133.47,97.78,102.37,91.17,27.69,15.08,11.34,60.13,49.41,35.05,14.49,15.73,2.26,1.37,1.69,1.48,29.379999999999995,-24.11837931316808,-24.12,-7.74,-40.14,-3.87,-77.51,2872.75,28.26,242.9,30.16,52.15,80.19,0.9368145270593252,5.07,2.09,2.96,0.92,0.81,1.76,1.5,27.0,0,0,0,1,1.0
주식회사더블유앤홀딩스,78468,2017,0.04,0.05,0.02,0.16,28.27,26.2,65.09,61.62,36.7,-26.77,0.15,10.55,60.57,0.09,0.05,0.5,-1.02,-1.62,-15.43,11.54,-0.4,-2.3372087622234665,-2.34,-13.54,-0.82,-33.16,-1.5,728.14,5.56,6.35,52.25,0.96,39.89,0.1063815477380121,7.88,1.0,0.12,0.11,0.11,0.12,0.93,18.0,0,0,0,1,1.0
(주)우앤리디피엠,77018,2020,105.28,0.0,49.87,1756.96,90.2,12.26,90.0,79.21,0.0,-4.08,5.69,37.61,52.63,2.21,1.29,40.7,-0.85,-0.85,-26.97,8.77,-11.010000000000002,25.462884489690524,25.46,-52.6,16928.01,-98.74,-21.49,896.34,3.31,1555.98,116.54,34.92,57.6,0.0283820217919015,2.54,0.11,11.74,0.03,0.03,0.09,0.05,10.0,0,0,0,1,1.0
(주)대경인텔리전트,48700,2016,-3.47,-3.63,-3.11,-5.33,9.59,9.59,857.48,757.1,85.49,-71.49,9.38,7.58,10.44,-74.68,-11.17,-21.34,-3.82,-3.83,-7.32,8.17,-22.640000000000008,-18.71007776824359,-18.71,-28.99,-17.73,-56.03,-3.79,2132.1,27.41,32.62,47.0,-45.41,58.78,0.5832168184573961,1532.92,6.39,0.68,0.52,0.52,0.57,6.39,32.0,0,0,0,1,1.0
주식회사DS산업,80619,2018,-4.21,-5.09,-2.5,-4.34,254.65,232.93,145.62,22.91,49.05,14.42,110.58,23.75,40.71,44.2,11.92,25.95,-5.96,-6.01,-13.4,4.6,43.440000000000005,-36.18989754055298,-36.19,59.29,-46.23,-18.19,-47.7,2353.14,33.84,46.72,58.75,44.17,67.83,0.5760118902952008,10.26,3.33,0.55,0.46,0.45,0.53,2.98,19.0,0,0,0,1,1.0
