회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,비유동비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,매출액총이익률,총자본사업이익률,총자본정상영업이익률,자기자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,자기자본배율,유형자산증가율,재고자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,자기자본회전률,경영자본회전률,총자본회전률,비유동자산회전률,순운전자본회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
제이엠티(주),94970,2017,-3,-7,-2,-1,127,110,79,126,117,25,14,14,65,44,19.27,11.46,5.27,15.18,17.94,17.9,34.49,9.43,0.45,17.31,73.9838712143612,73.98,131.04,18.74,53.47,523,35.51,2.48,28775,29,117,19,27,1.4935754239915044,9.0,4,7,4,2,2,5,2,3,26.0,17.0,도입기,1.0
제이준코스메틱(주),25620,2014,-32,-354,-11,-47,14,9,148,53,31,3,-18,2,3,65,-66.92,-20.27,-112.83,-205.56,-44.88,-44.92,-167.29,-282.08,47.28,377.45,-64.00050284446473,-48.06,-95.77,-22.41,-76.25,66,-22.42,-95.96,-417,-1,-1,-6,0,0.2329403032968201,7.97,1,0,1,0,0,0,0,1,49.0,29.0,쇠퇴기,1.0
제일전기공업(주),199820,2022,9,16,3,3,209,125,56,41,41,16,31,3,60,71,6.26,5.63,5.59,14.45,4.98,4.61,6.26,5.59,-0.06,-5.52,12.108329911092207,12.11,27.08,-4.73,-10.24,2162,10.18,115.89,27544,16,71,21,27,0.7798277259070078,4.44,2,3,1,1,1,2,1,1,44.0,4.0,도입기,0.0
조광아이엘아이(주),44060,2022,15,20,3,12,117,65,96,27,26,16,3,23,24,79,-17.17,-27.46,-49.33,35.39,2.38,2.29,3.18,9.14,3.1,-19.62,-9.696886660783706,-9.7,-29.37,-0.81,-2.36,191,12.35,23.22,-5466,-5,-24,-18,0,0.2641872320748277,4.85,1,1,0,1,0,0,0,1,30.0,23.0,성장기,0.0
조선선재(주),120030,2022,87,1324,6,12,1333,1112,24,7,6,0,71,877,77,94,8.02,8.83,15.71,23.66,8.52,6.63,7.19,14.09,-4.0,-3.93,4.001718651523125,4.0,7.62,-6.61,-1.73,21609,-4.28,5.58,21895,15,233,33,48,0.4614803176420639,7.76,1,7,1,1,0,2,1,1,14.0,14.0,성숙기,0.0
조아제약(주),34940,2016,4,8,1,2,186,158,65,60,51,18,28,11,60,63,0.34,0.17,0.2,48.28,0.35,-0.01,-0.01,-0.01,0.41,-1.8,1.0083203107388494,1.01,7.11,-6.81,10.83,338,4.79,-4.85,22662,30,105,41,1,0.7397137505500027,2.68,2,3,1,1,1,2,1,1,28.0,25.0,성숙기,1.0
지니언스(주),263860,2022,64,3166,13,20,438,402,25,25,23,0,61,49,80,80,16.05,14.54,18.58,58.93,13.22,12.31,15.55,18.0,-1.31,-0.1899999999999977,13.261902945351297,13.26,41.34,-36.11,20.47,1014,-1.3,61.24,22153,37,419,58,32,0.6441766963586806,4.18,1,7,1,1,1,2,1,1,19.0,7.0,성숙기,0.0
지엘팜텍(주),204840,2018,-16,-25,-12,-48,160,131,289,304,72,48,11,31,28,25,-68.44,-17.62,-66.88,9.8,-14.2,-14.51,-58.58,-57.25,8.78,-10.019999999999996,110.1110561673047,0.0,0.0,0.0,0.0,218,0.0,0.0,1250,4,8,16,-428,0.2534116495027397,2.15,1,1,1,0,0,0,1,1,10.0,10.0,쇠퇴기,1.0
지오릿에너지(주),270520,2022,11,17,4,15,249,249,17,56,56,24,53,191,89,64,-9.06,-6.88,-18.49,-8.33,-5.48,-6.12,-8.74,-17.84,-1.56,-5.930000000000001,82.42699775822429,82.43,90.89,34.64,-30.12,1152,21.31,0.0,-2929,-4,-284,-17,0,0.2655479875331518,4.6,0,14,0,0,0,3,0,0,7.0,7.0,성장기,0.0
진양산업(주),3780,2022,21,42,8,8,152,124,95,61,44,19,14,27,41,62,12.43,8.07,7.33,16.56,7.03,6.58,10.71,6.32,0.18,-0.6300000000000008,6.226528091654024,6.23,10.07,3.71,9.59,788,0.78,13.67,18460,22,41,22,33,1.0115238940833564,5.45,3,2,2,1,1,2,2,3,61.0,51.0,성숙기,0.0
진양화학(주),51630,2019,3,195,1,1,129,96,101,41,30,0,6,6,28,71,-7.57,-5.43,-4.71,5.09,-6.95,-7.09,-9.91,-6.17,-0.12,-6.430000000000001,-6.247549665738495,-6.25,-18.31,-0.55,-10.45,444,-0.03,-14.65,3510,9,13,8,-60,1.1887013550071264,6.8,5,2,2,1,1,2,2,4,23.0,23.0,성숙기,1.0
진원생명과학(주),11000,2014,-54,-399,-8,-13,689,545,33,17,12,2,62,170,72,85,-22.22,-20.67,-26.36,16.25,-17.19,-17.71,-22.0,-26.1,-0.19,10.93,28.11316994227733,28.11,51.0,-8.09,19.21,223,18.97,-0.15,4894,12,288,20,-133,0.6040604904671053,6.46,1,16,1,1,1,2,1,1,48.0,37.0,도입기,1.0
차이나크리스탈신소재홀딩스,900250,2022,212,1576,13,68,1029,986,58,7,5,1,41,770,46,94,4.05,4.18,19.79,38.71,5.19,5.09,5.39,24.72,-0.34,1.0499999999999998,12.5821088443768,12.58,5.15,19.65,25.16,664,3.77,50.83,38096,10,26,49,41,0.1944018363294551,3.66,0,1,0,0,0,0,0,0,12.0,8.0,성장기,0.0
참엔지니어링(주),9310,2014,1,5,1,3,267,232,355,652,149,13,33,7,53,13,-27.93,-4.91,-12.97,21.1,0.3,0.21,1.34,0.86,3.46,-36.68,10.284065780942472,10.28,196.21,71.83,-1.45,379,-0.56,20.75,6537,1,10,5,-266,0.2276575224278057,6.55,1,2,2,0,0,1,0,1,51.0,37.0,쇠퇴기,1.0
참좋은여행(주),94850,2022,-33,-743,-10,-79,223,218,51,43,41,1,36,35,65,70,-14.62,-16.07,-89.66,0.0,-14.17,-15.27,-18.89,-115.82,-8.28,0.9800000000000004,13.69408748256159,13.69,12.14,16.65,180.65,1100,170.59,737.93,-2554,-2,-119,-19,0,0.1239227975681426,0.0,0,9,0,0,0,0,0,0,17.0,17.0,쇠퇴기,1.0
커머스마이너 (주),223310,2017,-27,-51,-20,-73,70,60,183,268,265,38,-22,38,50,27,-192.8,-69.91,-182.01,-6.71,-27.1,-27.83,-102.37,-102.49,17.29,-184.63,75.69882315241841,0.0,0.0,0.0,0.0,178,0.0,0.0,-18257,-33,-342,-120,0,0.2714845585910939,13.45,1,3,1,0,0,1,0,1,13.0,9.0,도입기,1.0
