회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
(주)세경하이테크,148150,2022,138,560,23,18,239,192,20,17,4,20,83,34,83,9.98,7.33,6.34,3.63,3.4,3.07,0.6,-5.76,-20.31935017350744,-20.32,-40.41,-3.83,-2.86,-5.64,96171,46,83,37,17,1.248311185062006,9.86,3,2,1,1,2,3,18.0,5.0,쇠퇴기,0.0
(주)세우글로벌,13000,2022,53,9484,4,8,1104,976,9,9,0,81,155,89,92,3.36,3.31,5.42,4.66,3.13,5.55,-2.68,-1.31,0.6736367004345342,0.67,6.86,-30.78,-13.36,-0.27,2988,6,136,11,51,0.5625685813833552,8.9,1,13,1,1,4,1,46.0,35.0,성숙기,0.0
(주)세운메디칼,100700,2022,206,1474,12,26,1368,1096,6,5,1,64,478,69,94,8.78,8.44,17.7,10.05,9.48,20.27,-1.17,-2.59,6.216678474517027,6.22,10.59,-2.42,-3.94,-0.78,31903,24,86,53,33,0.4537795439990797,4.76,1,2,0,0,1,1,42.0,16.0,성숙기,0.0
(주)세종메디칼,258830,2022,0,0,0,2,38,34,418,417,59,-50,2,30,19,-224.94,-142.09,-572.7,-0.94,-1.57,-11.19,24.56,-214.61,51.39879724172987,52.38,-11.73,122.69,7.01,-33.58,-80129,-58,-585,-498,0,0.1163745938728067,8.87,0,1,0,0,0,0,14.0,6.0,도입기,0.0
(주)세진티에스,67770,2022,167,1106,7,20,1821,1786,4,4,1,68,158,72,96,-1.42,-1.34,-3.88,-2.86,-3.98,-11.48,-3.16,-8.04,-2.860749580579878,-2.86,-1.91,-5.26,-38.8,-3.84,7068,15,69,43,-9,0.3520920801186178,5.95,0,2,0,0,1,0,28.0,20.0,성숙기,0.0
(주)세토피아,222810,2018,-8,-11,-5,-18,68,67,142,140,44,-19,42,40,41,-77.95,-51.56,-88.93,-13.92,-14.57,-37.31,10.7,-33.910000000000004,162.9629623713326,162.96,186.33,149.61,-10.76,-1.16,-2509,-5,-29,-19,0,0.2693998993150777,4.22,1,2,1,0,1,1,9.0,9.0,도입기,1.0
(주)세화피앤씨,252500,2022,117,0,10,11,858,703,10,9,0,65,59,73,91,3.6,3.27,3.48,2.31,2.02,2.18,-0.31,-11.09,-0.9110248883367916,-0.91,-0.5,-2.01,-4.39,-7.1,11175,27,117,29,12,0.9312839657019706,7.35,2,4,1,1,3,1,8.0,8.0,성숙기,0.0
(주)센코,347000,2022,5,8,2,4,152,117,76,66,30,19,73,57,57,2.32,1.24,2.08,3.82,3.67,6.76,3.2,-4.16,4.754070147097675,4.75,-8.27,28.86,47.89,61.23,9957,13,55,24,9,0.5314027137935969,5.82,1,2,1,1,1,1,20.0,4.0,성숙기,0.0
(주)셀레믹스,331920,2022,-101,-297,-17,-42,590,538,19,14,6,58,85,70,84,-22.86,-21.18,-54.95,-20.43,-23.35,-65.69,-7.61,-3.0,-17.42278327990697,-17.42,-32.02,67.91,7.97,9.71,1150,5,64,13,-417,0.3929931748200442,8.99,0,5,0,0,2,0,14.0,4.0,쇠퇴기,1.0
(주)셀루메드,49180,2015,-13,-21,-6,-30,94,60,99,95,30,-3,13,45,50,-25.94,-16.78,-67.57,-9.4,-9.42,-40.47,15.67,5.619999999999997,16.47261227075786,16.47,5.86,26.86,-14.49,6.73,-1613,-2,-19,-9,0,0.216224605602033,1.24,1,2,0,0,0,0,39.0,22.0,도입기,1.0
(주)셀리드,299660,2021,-31,-38,-10,-658,1127,1127,50,5,27,33,282,36,67,-30.38,-34.89,-1437.76,-22.46,-24.17,-1431.2,-42.12,-22.01,17.927914487345532,17.93,60.37,2.81,0.0,2.02,-6698,-12,-31,-737,0,0.0156050196031094,0.0,0,0,0,0,0,0,18.0,5.0,도입기,1.0
(주)셀리버리,268600,2020,-63,-66,-23,-1817,4333,4333,58,3,35,88,2273,90,63,-52.53,-38.72,-2264.83,-37.79,-38.55,-2312.53,55.24,9.769999999999996,96.10945603723496,96.11,92.7,134.88,-63.27,33.36,-7066,-12,-444,-928,0,0.0125846432363456,9.67,0,0,0,0,0,0,10.0,6.0,도입기,1.0
(주)셀바스에이아이,108860,2020,6,8,3,7,172,152,85,46,32,18,56,43,54,12.3,5.65,12.31,-1.41,-1.65,-4.4,2.91,34.71,-2.7512763197713337,-2.75,-4.47,-1.43,-1.77,-10.83,24251,26,101,70,18,0.380040943920021,6.54,1,1,0,0,1,1,25.0,15.0,성숙기,1.0
