회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)포인트엔지니어링,52672,2016,20.87,28.27,9.44,14.65,123.29,112.2,82.64,57.92,33.41,7.39,37.88,39.1,54.75,12.36,7.89,10.08,9.56,9.46,13.28,0.88,0.0444222240231316,23.66960425095322,23.67,21.54,25.08,40.86,30.12,8542.79,17.61,46.0,27.32,36.89,78.46,0.6445922286188168,3.72,2.04,1.47,0.78,0.71,1.18,1.81,26.0,0,0,1,0,0.0
정석주식회사,94430,2022,1.34,1.5,0.87,22.96,1299.04,1299.04,185.65,4.47,58.06,18.78,30.25,20.34,35.01,1.25,0.52,11.49,2.86,1.77,44.09,29.64,-0.0111115440570979,12.023628697159465,12.02,96.54,0.94,36.42,1.02,787.34,2.91,4.23,76.86,14.94,90.13,0.0379011376075862,727.5187999999898,0.25,0.06,0.05,0.04,0.05,0.25,5.0,0,0,1,0,0.0
신성종합건축사사무소(주),85966,2022,39.64,200.81,16.51,10.28,256.84,237.58,71.4,47.9,8.22,43.83,90.89,71.77,58.34,17.03,12.67,5.85,13.51,12.78,7.08,-0.29,-0.0266581677337066,28.26219187792028,28.26,29.94,24.2,16.98,108.79,9822.1,36.72,1451.01,22.87,25.61,31.16,1.605899808877988,14.75,2.81,29.49,2.16,1.8,6.3,2.53,27.0,0,0,1,0,0.0
(주)지엘에스,66107,2022,8.6,9.22,6.03,12.75,13.64,13.64,234.48,112.92,65.32,-29.15,4.25,4.6,29.9,4.69,1.61,2.9,3.79,3.78,6.95,3.63,-0.1358563935758946,34.96029612824213,34.96,-53.56,48.64,-53.33,51.02,2135.51,6.79,7.13,14.37,20.18,88.67,0.4726376544718296,8.49,6.51,0.6,0.56,0.54,0.59,6.51,14.0,0,0,1,0,0.0
윙입푸드홀딩스,900340,2022,54.0,96.0,10.0,12.0,518.0,471.0,23.0,12.0,11.0,42.0,409.0,51.0,81.0,10.07,10.12,9.7,10.73,10.57,12.65,-0.12,-0.0351410399132173,5.560902272531004,5.56,-4.52,18.89,9.88,20.47,26962.0,13.0,33.0,16.0,61.0,84.0,0.814022119383515,22.76,2.0,2.0,1.0,1.0,2.0,2.0,9.0,0,0,1,0,0.0
(주)상원보드,98827,2022,13.55,29.01,4.72,2.52,379.42,326.31,53.42,27.85,16.27,50.72,34.19,68.88,65.18,7.04,4.63,2.36,5.71,5.64,2.92,0.16,0.0465998859462856,6.369491946591557,6.37,2.04,17.4,-2.22,34.52,2755.16,18.17,71.0,9.69,24.4,61.15,1.875251647730376,3.55,3.13,8.41,1.96,1.93,6.51,2.75,15.0,0,0,1,0,0.0
(주)브랑제리홍종흔,97945,2022,5.32,6.51,4.87,11.78,7.34,5.51,1073.94,717.21,74.74,-56.61,1.64,4.49,8.52,29.07,2.35,5.23,3.41,3.4,8.23,6.43,0.593405134569595,0.0062261053764328,0.01,2.38,-0.1,11.48,0.65,3348.39,15.78,17.0,38.19,13.7,69.28,0.4132424551346548,25.3,12.22,0.45,0.45,0.41,0.43,9.32,9.0,0,0,1,0,0.0
주식회사아인스미디어,97878,2022,76.89,107.68,20.14,31.52,258.03,258.03,35.48,35.29,18.7,41.16,38.73,67.21,73.81,28.68,29.44,29.54,28.07,26.84,35.82,-1.65,-0.1120896124830974,0.0,41.7,22.58,108.3,13.14,73.58,16575.49,47.24,2114.59,73.95,39.95,52.13,0.0,10.22,1.05,3.49,1.0,0.75,2.63,1.05,15.0,0,0,1,0,0.0
(주)동서기공,83260,2022,4.24,4.88,2.56,6.24,48.7,48.7,151.51,114.45,52.35,-23.34,9.95,22.16,39.76,8.39,3.42,7.82,5.81,5.58,12.96,3.04,0.0576002422861473,10.913454248902363,10.91,88.38,-0.71,4.86,-1.25,3598.08,7.45,9.74,18.21,42.94,87.94,0.409343743563524,4.36,2.41,0.53,0.44,0.43,0.52,2.41,26.0,0,0,1,0,0.0
세일정기주식회사,50234,2022,50.19,143.9,6.81,21.39,221.47,179.19,15.69,14.78,4.73,15.52,59.72,28.29,86.44,7.73,7.89,20.45,7.0,6.1,19.09,-2.46,-0.0511832582548858,0.7974380654862165,0.8,-45.61,51.96,27.63,73.33,7505.04,8.57,16.43,26.94,75.92,87.53,0.3182113714074558,11.44,0.96,0.71,0.39,0.32,0.54,0.79,36.0,0,0,1,0,0.0
