회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)윌닉스,69161,2022,7.94,8.59,4.73,5.02,122.56,105.33,147.25,101.96,55.1,9.3,44.12,50.54,40.45,1.21,0.5,0.52,2.76,2.73,2.91,2.16,-10.32,-0.9628503075224508,-0.96,6.65,-7.7,5.89,-3.14,2093.01,10.53,23.57,11.17,4.62,77.86,0.9429098972305112,4.77,2.16,2.08,0.97,0.94,1.83,1.93,12.0,0,1,0,0,0.0
(주)반석코퍼레이션,68917,2019,6.47,11.75,5.82,39.97,16.78,16.78,900.18,524.98,49.51,-43.68,3.24,8.81,10.0,42.28,3.51,23.97,5.73,5.63,38.43,9.28,-18.52,1.2801411221672236,1.28,56.36,-2.05,9.19,-2.11,1242.85,11.57,13.03,79.51,30.15,77.81,0.1455783822022748,348.45,2.02,0.16,0.15,0.15,0.16,2.02,15.0,0,1,0,0,0.0
우주특수산업(주),97017,2022,11.16,16.52,6.24,4.01,46.28,43.26,127.02,107.44,37.78,-25.43,0.65,21.9,44.05,7.92,3.41,2.15,5.67,5.65,3.57,1.4,4.779999999999999,2.890605908819876,2.89,6.39,1.95,16.15,1.63,1777.26,18.26,24.14,11.72,18.38,58.47,1.5585478574988825,12.8,7.9,2.08,1.58,1.58,2.01,7.34,54.0,0,1,0,0,0.0
디플러스(주),88869,2022,150.62,0.0,19.48,16.8,434.28,352.84,14.85,14.76,0.0,42.97,238.87,55.82,87.07,27.55,31.13,18.7,23.92,23.57,18.47,-0.27,2.6099999999999994,22.35219425588812,22.35,37.99,7.03,18.79,-3.45,10203.11,38.62,187.26,33.32,56.12,71.9,1.1591501224867653,9.1,2.96,5.52,1.67,1.28,2.71,2.41,25.0,0,1,0,0,0.0
현대기전(주),70222,2022,23.28,196.24,19.34,13.83,84.03,78.55,489.9,468.42,9.85,-12.68,1.88,66.72,16.95,17.41,4.79,1.95,6.05,5.15,2.74,-0.16,9.52,106.6066360536214,106.61,129.9,71.71,180.36,-0.2,2639.71,7.23,98.53,5.17,37.73,53.46,1.398296899397053,8.0,3.53,19.05,2.46,1.88,5.31,2.92,30.0,0,1,0,0,0.0
(주)고려기연,81468,2022,30.28,46.64,8.81,16.81,168.86,121.85,41.02,39.56,18.88,19.32,67.48,47.38,70.91,12.64,8.57,16.34,9.37,9.12,17.44,0.17,-1.0299999999999994,-0.3738797309693234,-0.37,1.54,-2.04,-3.67,-1.67,5258.0,16.83,32.6,32.11,50.89,68.33,0.5240112914796231,15.45,1.44,1.01,0.52,0.52,0.99,1.11,39.0,0,1,0,0,0.0
해운약품(주),48594,2021,438.53,0.0,19.6,35.72,1675.77,1525.5,4.68,4.0,0.0,60.2,57.95,64.02,95.53,5.12,5.37,8.74,4.93,4.02,7.24,-1.63,-0.08,2.5712494103461063,2.57,-12.16,46.23,-12.98,136.9,2595.27,14.28,100.33,26.03,33.58,41.99,0.5487021625881652,1.84,0.88,3.06,0.61,0.56,1.81,0.8,25.0,0,1,0,0,0.0
(주)코만,61660,2022,13.8,19.77,7.79,8.11,73.34,47.49,129.55,117.79,39.38,-13.68,29.58,37.64,43.56,25.72,12.22,10.34,13.61,13.58,13.66,1.37,12.669999999999998,7.32126065475028,7.32,27.7,-2.11,34.13,-3.2,10962.57,17.54,38.21,18.27,56.59,89.7,0.9605102283822896,11.93,4.44,2.05,1.18,0.99,1.52,2.86,36.0,0,1,0,0,0.0
주식회사합동전자,45520,2022,-0.93,-1.17,-0.49,-0.55,86.66,72.66,110.58,81.8,41.97,-5.18,0.31,33.66,47.49,5.94,2.97,3.07,2.58,2.44,2.76,1.17,-10.29,-1.508452761129489,-1.51,-12.28,5.04,-8.07,2.47,9283.37,13.75,30.69,15.41,19.91,60.65,0.8925629816077006,3.89,2.88,2.02,0.97,0.89,1.38,2.48,36.0,0,1,0,0,0.0
이현산업개발(주),82473,2018,100.35,128.58,56.14,35.69,876.79,440.54,127.0,25.81,43.66,88.34,4.99,99.71,44.05,13.06,3.41,3.43,6.87,6.87,6.92,2.56,-269.42,-53.93065009253518,-53.93,-53.71,-82.63,-28.97,0.0,835.53,16.08,0.0,10.22,33.57,72.92,1.5732658581813044,3.29,1.85,0.0,0.99,0.99,161.3,1.0,9.0,0,1,0,0,0.0
(주)에이디켐테크,81523,2022,58.71,114.12,16.1,21.86,215.47,196.2,37.77,23.1,14.1,19.36,60.01,36.13,72.58,15.26,10.87,13.98,14.44,14.32,19.77,0.81,-0.2100000000000008,-3.168434889335924,-3.17,3.39,-6.52,11.39,-2.2,10040.7,23.48,41.17,31.89,43.83,84.89,0.7362349135055128,3.53,2.25,1.18,0.78,0.72,1.11,2.07,14.0,0,1,0,0,0.0
